district,chamber,indicator,value,topic,type,format,order,topicOrder,pad,id
State House District 1,House,Total population,22923,Age,table,",",1,1,001,620L500US09001
State House District 2,House,Total population,24363,Age,table,",",1,1,002,620L500US09002
State House District 3,House,Total population,21702,Age,table,",",1,1,003,620L500US09003
State House District 4,House,Total population,23089,Age,table,",",1,1,004,620L500US09004
State House District 5,House,Total population,23978,Age,table,",",1,1,005,620L500US09005
State House District 6,House,Total population,23375,Age,table,",",1,1,006,620L500US09006
State House District 7,House,Total population,23314,Age,table,",",1,1,007,620L500US09007
State House District 8,House,Total population,23714,Age,table,",",1,1,008,620L500US09008
State House District 9,House,Total population,25757,Age,table,",",1,1,009,620L500US09009
State House District 10,House,Total population,22826,Age,table,",",1,1,010,620L500US09010
State House District 11,House,Total population,24236,Age,table,",",1,1,011,620L500US09011
State House District 12,House,Total population,24344,Age,table,",",1,1,012,620L500US09012
State House District 13,House,Total population,23632,Age,table,",",1,1,013,620L500US09013
State House District 14,House,Total population,24218,Age,table,",",1,1,014,620L500US09014
State House District 15,House,Total population,23022,Age,table,",",1,1,015,620L500US09015
State House District 16,House,Total population,24015,Age,table,",",1,1,016,620L500US09016
State House District 17,House,Total population,23458,Age,table,",",1,1,017,620L500US09017
State House District 18,House,Total population,23129,Age,table,",",1,1,018,620L500US09018
State House District 19,House,Total population,24841,Age,table,",",1,1,019,620L500US09019
State House District 20,House,Total population,22079,Age,table,",",1,1,020,620L500US09020
State House District 21,House,Total population,23920,Age,table,",",1,1,021,620L500US09021
State House District 22,House,Total population,23115,Age,table,",",1,1,022,620L500US09022
State House District 23,House,Total population,22996,Age,table,",",1,1,023,620L500US09023
State House District 24,House,Total population,22550,Age,table,",",1,1,024,620L500US09024
State House District 25,House,Total population,24244,Age,table,",",1,1,025,620L500US09025
State House District 26,House,Total population,24288,Age,table,",",1,1,026,620L500US09026
State House District 27,House,Total population,24729,Age,table,",",1,1,027,620L500US09027
State House District 28,House,Total population,23859,Age,table,",",1,1,028,620L500US09028
State House District 29,House,Total population,24769,Age,table,",",1,1,029,620L500US09029
State House District 30,House,Total population,25217,Age,table,",",1,1,030,620L500US09030
State House District 31,House,Total population,24364,Age,table,",",1,1,031,620L500US09031
